Food Name and Description,Protein,Total Fat,Carbohydrates
,,,
Corn grits white,8.3,1.5,77.5
Corn grits yellow,7.7,0.8,78.1
Corn on cob white,4.4,0.8,30.9
Corn on cob yellow,4.4,1.5,35.4
Corn on cob yellow boiled,3.3,1.2,35.7
Cornmeal white,7.6,0.6,79.2
Cornmeal yellow,8.5,3.2,77
Job's tears grain,13.1,2.5,73.3
Millet glutinous,10.3,2.5,72.3
Rice bran,7.8,5,59.9
Rice glutinous parboiled flattened,4.3,1,78.5
Rice milled glutinous,6.9,0.8,80.1
Rice milled glutinous milled w/ water,4.4,0.1,47.9
Rice undermilled,8.1,2.8,76.3
Rice undermilled glutinous purple,8.7,2,76.3
Rice undermilled glutinous purple boiled,2.4,0.4,27.8
Rice undermilled red,7.5,0.9,80
Rice well-milled,7.4,0.5,80.4
Rice well-milled boiled,2.1,0.2,29.7
Rice well-milled fried,2.6,4,35.2
Rice-corn mixture (1:1),7.5,1,81.8
Rice-corn mixture (1:1) boiled,2.2,0.3,21
Sorghum,9.5,3.9,77.1
Sorghum boiled,3.5,1,31.7
Ampaw pinipig,3.1,1.6,91.3
Ampaw rice,4.5,2.1,87.1
Bicho-bicho,7.4,14,55.2
Biscuit cocohoney,7,14.7,73.2
Bread w/ margarine & sugar filling,9.3,12.4,55.5
Bread brown,12.1,0.9,64.1
Bread cheese roll,10.1,13.5,45.1
Bread cinnamon roll,9.1,13.1,58.1
Bread hotdog roll,10.2,3.8,61.3
Bread toasted w/ margarine-sugar topping,9.3,7.4,77.1
Bread mung bean loaf,13.5,8.3,55.8
Bread pan de bonete,12.3,4.4,60
Bread pan de coco,9.2,7.6,60.9
Bread pan de leche,10.5,3,63.5
Bread pan de limon,10.6,3.9,60.9
Bread pan de monay,10.6,3.4,61.3
Bread pan de sal,10.1,4.2,62.9
Bread raisin,9.4,4.6,53.9
Bread rye,12.1,3.5,56
Bread sweet roll,8.6,5,61.6
Bread sweet roll w/ mung bean filling,9.6,2.1,62.5
Bread toasted,11.2,5.3,64.2
Bread white loaf,9.7,5.1,61.1
Bunuelos,9.5,34.8,36.4
Cake angel food,7.2,0.3,57.7
Cake banana,5.4,13.4,47.2
Cake butter,2.8,20.4,51
Cake cheese cupcake,5.6,16.4,60
Cake chiffon,7.2,11.6,49.8
Cake chocolate,5.6,12.6,59.3
Cake cream-filled roll,9.2,16.3,45.6
Cake fruit,5,14.6,53.4
Cake jelly roll,5.3,2.8,69.9
Cake kababayan,6.3,9.9,61.6
Cake mamon,5.4,10.7,62.6
Cake mamon toasted,10.4,6.7,78.5
Cake marshmallow roll,6.5,5.1,66.4
Cake mocha roll,6.7,9,61.2
Cake pineapple roll,3.5,2.5,54.5
Cake sponge,8.2,5.3,56.3
Chips cheese flvr,7.2,24.1,60.7
Chips corn bbq flvr,6.5,30.7,58.1
Chips corn nacho cheese flvr,7.5,30,57.1
Chips corn natural flvr,5.9,29.1,60.3
Chips corn-potato based cheese flvr,3.1,33.4,56.8
Chips corn taco & bbq flvr,4.2,29,62.4
Chips corn taco flvr,6.8,27.4,60.2
Chips fish crackers,5,16.6,71.7
Chips fish kroepeck,4,27,60.8
Chips prawn crackers,6.8,13.1,74.2
Chips prawn crackers flvrd,3.9,33,57.7
Chips shrimp crackers,6,18.4,68.1
Chips shrimp kroepeck,7.3,24.4,61.1
Chips squid crackers,7.4,12.4,73.1
Chips sticks onion flvr,5.4,27.2,62
Chips tortilla bbq flvr,7.2,23.3,62.7
Chips tortilla nacho cheese flvr,7.4,23.2,64.4
Cookies apas,5.4,0.5,90.4
Cookies arrowroot,1.1,8.5,83.9
Cookies assorted,6.2,11.3,78.9
Cookies brownies,7.4,16.8,59.1
Cookies butter,8.3,24.1,64.5
Cookies camachili,7.8,12.2,75.6
Cookies gem,11,9.7,73.6
Cookies jacobina special,7,13.3,75.4
Cookies lady finger,8.6,6.5,73.7
Cookies marie,8.1,8.9,77.1
Cookies ogoy-ogoy,8.3,11.8,75.3
Cookies otap,10.1,14.3,73.3
Cookies pasencia,6.9,3.3,84.9
Cookies pili nut,6.6,28.3,62.6
Cookies pilipit,6.7,17,72.6
Cookies polvoron,5.2,19.2,71
Cookies sandwich type choc-filled,5.7,24.9,67.1
Cookies sandwich type cream-filled,5.9,18,71.7
Cookies vanilla wafer choc-coated,5.4,24.2,67.7
Cookies wafer,4.6,22.9,70
Corn flakes enr,8.2,0.6,87.2
Corn pudding,1.3,1.1,33.4
Corn pudding w/ grtd coconut topping,1,1.4,42.6
Corn pudding maja yellow,1.1,1.3,27.6
Corn pudding maja yellow w/ grtd coconut topping,1.8,1.3,32.9
Corn fried seasoned,8.5,21.8,63.2
Corn whole kernel cnd,1.3,0.4,15.4
Cornstarch,0.3,0.3,91.5
Cracker egg,15,8.1,72.3
Cracker graham honey-flvr,8,8.1,79.5
Cracker plain,7.5,19.7,68.7
Cracker salted,9.6,19.9,65.5
Cracker salted round,7.2,24.7,63.4
Cream puff,5.4,7.5,50.9
Curls bbq flvr,7.8,15.5,71.1
Curls cheese flvr,7.6,15.4,69.5
Curls prawn flvr,7.2,20.2,68
Curls shrimp flvr,6.6,9,77.9
Doughnut fried w/ sugar,7.5,22.7,49.2
Gurgurya,6.7,26.5,62.4
Hominy,3,1.4,25.4
Hopyang baboy,5,13.1,69.1
Hopyang Hapon,8.7,5.7,66.4
Hopyang munggo,6.5,12,62.3
Karyoka,4.2,12.1,58.2
Lohuwa peanut,16.9,25.6,50.6
Lohuwa rice,3.4,8.4,81.4
Lohuwa sesame seed,10.7,19.1,64.5
Noodles mung bean starch,0.2,0.2,85.5
Noodles mung bean starch boiled,0,0.1,19.3
Noodles rice fideos,9.6,0.4,78.7
Noodles rice,2.7,0.5,84.5
Noodles rice boiled,0.5,0.6,26.9
Noodles wheat canton dry,12.8,23.2,56.8
Noodles wheat mami fresh,6.8,0.2,10.9
Noodles wheat inst w/ flvr,10.4,18.1,57.1
Noodles wheat inst w/ flvr fortified,9.2,22.3,56.8
Noodles wheat thin,12.2,0.3,73
Noodles wheat thin boiled,0.9,0.1,23.8
Noodles wheat miki dry,12.4,22.4,55.3
Noodles wheat miki dry boiled,1.7,2.9,19.2
Oatmeal instant,10,4.7,77.9
Oats quick-cooking,11.4,9.1,73.8
Oats quick-cooking ckd,1.6,1.1,11
Pancake,8.4,7.6,41.8
Pasta macaroni,14.3,0.2,73.5
Pasta spaghetti,12.4,1.1,75.4
Pasta spaghetti boiled,5.5,0.1,33.3
Popcorn and peanuts sweetn,5.1,12.8,77.8
Popcorn salted,6.7,18.6,69.2
Popcorn sweetn,4,11,81.9
Pretzel choc-coated,8.1,18.6,68.8
Pretzel sweetn,8.5,11.1,76.9
Pudding pineapple,4.7,1.7,58.5
Pudding raisin,8.1,2.9,40.5
Pudding vanilla,6.2,1.5,61.8
Puffs bbq flvr,7.5,14.6,70.9
Puffs cheese flvr,6,26.5,60
Puffs chicken flvr,6.8,13.4,75.2
Puffs spiced,7.4,8.9,77
Rice cake (glutinous) bibingka,2.8,1,59
Rice cake (glutinous) biko,2.2,0.9,58.7
Rice cake (glutinous) biko w/ grtd coconut topping,3.3,1.6,54.7
Rice cake (glutinous) biko w/ purple rice,2.6,0.4,53.2
Rice cake (glutinous) Chinese tikoy,2.5,0.3,59.4
Rice cake (glutinous) Chinese tikoy w/ peanut,6.4,1.8,51.4
Rice cake bibingka,3.6,0.9,52.9
Rice cake bibingka w/ cheese & coconut topping,2.8,2.6,47.2
Rice cake puto bumbong purple,3.5,1.3,56.5
Rice cake puto brown,2,0.1,49.3
Rice cake puto white,2.8,0.3,49.9
Rice cake puto white w/ grtd coconut topping,2.7,1.1,47.1
Rice cake cuchinta,1.4,0.8,38.4
Rice cake cuchinta w/ grtd coconut topping,1.6,3.2,32.4
Rice flour,7.6,0.3,81.3
Rice flour prep tamales,1.3,0.9,21.8
Rice gruel thin,1.4,1.1,13.9
Rice prep (glutinous) butse w/ mung bean filling,6.4,12,48.9
Rice prep (glutinous) butse w/ sweet potato filling,5.6,8.2,53.5
Rice prep (glutinous) kalamay w/ coconut curd topping,2.7,0.4,48.5
Rice prep (glutinous) kalamay w/ yam,2.2,0.3,41.7
Rice prep (glutinous) palitaw,2.6,2.8,42.5
Rice prep (glutinous) palitaw w/ grtd coconut & sugar,2.6,4.5,40.5
Rice prep (glutinous) sapin-sapin,1.1,0.4,30.3
Rice prep (glutinous) suman sa ibos,3.1,0.7,38
Rice prep (glutinous) suman lye-treated,3.2,0.4,43.6
Rice prep (glutinous) suman w/ grtd coconut topping,2.6,2.4,44.8
Rice prep (glutinous) tupig,3.6,2.6,65.6
Rice prep espasol,4,3.6,65.8
Rice water ckd thin,0.1,0.2,3.8
Rice crispies,3,0.6,88.8
Rice-bread prep toasted puto seko,6,1.8,87
Rice-bread prep toasted puto seko w/ grtd coconut,4.4,5.5,83.8
Spring roll wrapper plain,10.6,0.5,67.2
Wheat flour all-purpose,12.6,0.8,73.7
Wheat flour all-purpose enr bleached,11,3.6,75.2
Wheat flour cake flour enr bleached,8.9,1.7,79.7
Instant noodles chicken flvr raw,10.5,17.5,57.3
Instant noodles chicken flvr ckd,1.3,2.1,6
Cassava,0.6,0.2,35.3
Cassava boiled,0.4,0.1,27.1
Cassava yellow,0.7,0.2,37.7
East Indian arrowroot,3.1,0.1,32.6
East Indian arrowroot boiled,3.1,0.2,18.5
Palauan,0.5,0.2,37.3
Potato,2.4,0.1,16.8
Potato boiled,1.7,0.1,13.7
Sweet potato purple,0.6,0.4,29.8
Sweet potato purple boiled,0.6,0.2,29.5
Sweet potato white,0.7,0.5,24.3
Sweet potato white boiled,0.4,0.8,29.3
Sweet potato yellow,1.1,0.4,31.8
Sweet potato yellow boiled,0.5,0.3,30.7
Taro,2.3,0.2,32.6
Taro boiled,1.5,0.1,24.4
White spot arum,3.1,0.2,11.7
Yam Luzon,2.5,0.1,22.1
Yam nami,2.3,0.3,23.3
Yam purple,1.7,0.2,22.2
Yam purple boiled,0.7,0.1,18.2
Yam spiny,1,2.7,28.2
